quantity,reference(s),value,footprint,library,library partname,digikey partnumber,quantity avaible on digikey,description,manufacturer,price per unit,
1,CON1,USB-MICRO,frep:USB_Micro,frep,USB-MICRO,,,,,,
3,S1 S2 S3,Lipo Select,frep:Switch_SPDT,frep,SPDT,CKN9565-ND,18241,SWITCH SLIDE SPDT 100MA 12V,C&K Components,0.48000 EUR,
2,P1 P2,CONN_2,frep:JST-PH-2-THM,conn,CONN_2,455-1704-ND,206600,CONN HEADER PH TOP 2POS 2MM,JST Sales America Inc,0.16000 EUR,
1,R14,43K 1%,frep:R0805,device,R,P43.0KCCT-ND,54738,RES SMD 43K OHM 1% 1/8W 0805,Panasonic Electronic Components,0.10000 EUR,
1,R13,78.7K 1%,frep:R0805,device,R,P78.7KCCT-ND,17911,RES SMD 78.7K OHM 1% 1/8W 0805,Panasonic Electronic Components,0.10000 EUR,
2,R15 R12,49.9K 1%,frep:R0805,device,R,P49.9KCCT-ND,170117,RES SMD 49.9K OHM 1% 1/8W 0805,Panasonic Electronic Components,0.10000 EUR,
1,P6,CONN_1,frep:MountingHole_3mm,conn,CONN_1,,,,,,
1,P5,CONN_1,frep:MountingHole_3mm,conn,CONN_1,,,,,,
1,P4,CONN_1,frep:MountingHole_3mm,conn,CONN_1,,,,,,
1,P3,CONN_1,frep:MountingHole_3mm,conn,CONN_1,,,,,,
3,IC1 IC2 IC3,LM358,frep:SOIC8,frep,OPAMP-DUALU,LM358MXFSCT-ND,25505,IC OPAMP GP 8SOIC,Fairchild Semiconductor,0.43000 EUR,
1,R1,10K,frep:R0805,device,R,,,,,,
1,R2,10K,frep:R0805,device,R,,,,,,
14,R4 R5 R16 R17 R18 R19 R20 R21 R22 R23 R33 R32 R31 R34,220R,frep:R0805,device,R,P220CCT-ND,128933,RES SMD 220 OHM 1% 1/8W 0805,Panasonic Electronic Components,0.10000 EUR,
1,D1,Low Battery,frep:LED-0805,device,LED,,,,,,
1,D5,Power Load,frep:LED-0805,device,LED,,,,,,
1,PB1,PowerBoost,frep:Powerboost1000C,frep,PowerBoost,,,,,,
1,R11,300R 1%,frep:R0805,device,R,P300CCT-ND,100172,RES SMD 300 OHM 1% 1/8W 0805,Panasonic Electronic Components,0.10000 EUR,
1,JP2,+ -,frep:Pin_Proto_Straight_1x02,device,JUMPER,,,,,,
1,SEG1,4_x_7Segment,frep:4digit7segment,frep,4_x_7Segment,,,,,,
2,U1 U3,74HC595,frep:SO16,74xx,74HC595,296-14858-1-ND,8552,IC 8BIT SHIFT REG 3ST-OUT 16SOIC,Texas Instruments,0.61000 EUR,
1,R3,10K,frep:R0805,device,R,,,,,,
1,JP1,JUMPER3,frep:Pin_Proto_Straight_1x03,device,JUMPER3,,,,,,
1,CON2,USB-A-Jack,frep:USB-A-Jack,frep,USB-A-Jack,,,,,,
1,R10,220R,frep:R0805,device,R,,,,,,
1,R9,220R,frep:R0805,device,R,,,,,,
1,R8,220R,frep:R0805,device,R,,,,,,
1,R7,220R,frep:R0805,device,R,,,,,,
1,D6,V bat,frep:LED-0805,device,LED,,,,,,
1,D7,V load,frep:LED-0805,device,LED,,,,,,
1,D8,I load,frep:LED-0805,device,LED,,,,,,
1,D9,P load,frep:LED-0805,device,LED,,,,,,
1,C1,10uF,frep:C0805,device,C,,,,,,
1,C4,10uF,frep:C0805,device,C,,,,,,
5,Q3 Q1 Q2 Q4 Q5,DMG3415U,frep:SOT23,frep,MOSFET-P,DMG3415UDICT-ND,20974,MOSFET P-CH 20V 4A SOT-23,Diodes Incorporated,0.48000 EUR,
1,R6,10K,frep:R0805,device,R,,,,,,
1,C2,10uF,frep:C0805,device,C,,,,,,
1,C3,10uF,frep:C0805,device,C,,,,,,
2,D3 D4,SDM40E20LC,frep:SOT23,device,DOUBLE_SCH_KCOM,SDM40E20LC-7DICT-ND,3022,DIODE ARRAY SCHOTTKY 20V SOT23-3,Diodes Incorporated,0.72000 EUR,
3,D2 D10 D12,5.3V Zener,frep:SOT23,frep,ZENER_SOT23,568-6472-1-ND,7638,DIODE ZENER 5.3V 250MW SOT23,NXP Semiconductors,0.46000 EUR,
1,U2,ICL7660,frep:SOIC8,special,ICL7660,ICL7660AIBAZA-ND,3434,IC REG SWTCHD CAP INV 45MA 8SOIC,Intersil,1.79000 EUR,
1,U6,ATMEGA32U4,frep:TQFP44,frep,ATMEGA32U4,,,,,,
1,X1,16MHz,frep:HC49UP,device,CRYSTAL,,,,,,
1,C5,18pF,frep:C0805,device,C,,,,,,
1,C7,18pF,frep:C0805,device,C,,,,,,
1,R26,1M,frep:R0805,device,R,,,,,,
1,P11,CONN_10,frep:Pin_Header_Straight_1x10,conn,CONN_10,,,,,,
1,P12,CONN_8,frep:Pin_Header_Straight_1x08,conn,CONN_8,,,,,,
1,P13,CONN_8,frep:Pin_Header_Straight_1x08,conn,CONN_8,,,,,,
1,P14,CONN_6,frep:Pin_Header_Straight_1x06,conn,CONN_6,,,,,,
1,R29,22R,frep:R0805,device,R,,,,,,
1,R30,22R,frep:R0805,device,R,,,,,,
1,C11,1uF,frep:C0805,device,C,,,,,,
1,R27,10K,frep:R0805,device,R,,,,,,
1,D11,DL4148,frep:Diode-MiniMELF_Handsoldering,device,DIODE,,,,,,
1,S4,Reset,frep:TACTILE-PTH,frep,TAC_SWITCH,,,,,,
1,L1,Ferrit bead,frep:R0805,device,INDUCTOR,,,,,,
1,C16,100nF,frep:C0805,device,C,,,,,,
1,C18,1uF,frep:C0805,device,C,,,,,,
1,R35,1K,frep:R0805,device,R,,,,,,
1,P7,ICSP,frep:Pin_Proto_Straight_2x03,conn,CONN_3X2,,,,,,
1,D13,RX,frep:LED-0805,device,LED,,,,,,
1,D14,TX,frep:LED-0805,device,LED,,,,,,
1,D15,Power Ard.,frep:LED-0805,device,LED,,,,,,
1,D16,IO13,frep:LED-0805,device,LED,,,,,,
1,S5,Select,frep:TACTILE-PTH,frep,TAC_SWITCH,,,,,,
1,R36,10K,frep:R0805,device,R,,,,,,
1,CON3,USB-MINI-B-Vert,frep:Vertical_USB_Mini_B,frep,USB-MINI-B-Vert,,,,,,
1,F1,FUSE,frep:C1812,device,FUSE,,,,,,
1,U5,AP7333,frep:SOT23,frep,AP7333,,,,,,
1,C8,100nF,frep:C0805,device,C,,,,,,
1,C10,10uF,frep:C0805,device,C,,,,,,
1,C6,100NF,frep:C0805,device,C,,,,,,
1,C9,1uF,frep:C0805,device,C,,,,,,
1,C12,1uF,frep:C0805,device,C,,,,,,
1,R25,10K,frep:R0805,device,R,,,,,,
1,R24,10K,frep:R0805,device,R,,,,,,
1,R28,0.1R 1%,frep:R1206,device,R,P.10AUCT-ND,21866,RES SMD 0.1 OHM 1% 1W 1206,Panasonic Electronic Components,0.71000 EUR,
1,JP5,JUMPER,frep:Pin_Proto_Straight_1x02,device,JUMPER,,,,,,
1,JP4,JUMPER,frep:Pin_Proto_Straight_1x02,device,JUMPER,,,,,,
1,U4,INA219,frep:SOIC8,frep,INA219,,,,,,
2,VR1 VR2,VR,frep:R0805,device,VR,478-5584-1-ND,7336,VARISTOR 10.8V 40A 0805,AVX Corporation,0.59000 EUR,
1,R37,10K,frep:R0805,device,R,,,,,,
